split_strategy,model_variant,stratum_type,stratum_value,row_count,coverage,mae,median_absolute_error,rmse,bias,spearman,negative_prediction_rate,summary_type,nearest_distance_absolute_error_spearman,in_domain_median_absolute_error,boundary_median_absolute_error,out_of_domain_median_absolute_error,out_vs_in_median_error_ratio,interpretation,distance_bin
random,histogram_gradient_boosting_log1p,domain_distance,out_of_domain,74,0.04404761904761905,0.09806109600294931,0.06270035967764465,0.13825894022350801,0.0290653971955093,0.18524085989675798,0.04054054054054054,,,,,,,,
random,histogram_gradient_boosting_raw,domain_distance,boundary,71,0.042261904761904764,0.07461969714921647,0.0667099863048159,0.0923566591682415,0.026498013779262992,0.4572623540170855,0.04225352112676056,,,,,,,,
random,histogram_gradient_boosting_raw,domain_distance,in_domain,1535,0.9136904761904762,0.1163853932492547,0.0331424054952288,0.39149160299140023,0.0027340683512099544,0.4807793927450121,0.07231270358306188,,,,,,,,
random,histogram_gradient_boosting_raw,domain_distance,out_of_domain,74,0.04404761904761905,0.12681531776977945,0.08293046591340045,0.18439811707984366,0.050045685264489895,0.02695007327512855,0.02702702702702703,,,,,,,,
random,ridge_log1p,domain_distance,boundary,71,0.042261904761904764,0.06969283137828347,0.0411455895485973,0.10527551343195349,-0.008189217390098012,0.33258488218820886,0.19718309859154928,,,,,,,,
random,ridge_log1p,domain_distance,in_domain,1535,0.9136904761904762,0.11176427897592217,0.0560220757705896,0.3882792079313153,-0.022512095658776533,0.37241193800017064,0.024755700325732898,,,,,,,,
random,ridge_log1p,domain_distance,out_of_domain,74,0.04404761904761905,0.10325477590178953,0.0666556811863129,0.14768237503500606,0.03144842734343717,0.19883098339859695,0.1891891891891892,,,,,,,,
random,ridge_raw,domain_distance,boundary,71,0.042261904761904764,0.07777052970944073,0.0416124218422588,0.11971499637874296,-0.003625441979590049,0.3130993128330428,0.36619718309859156,,,,,,,,
random,ridge_raw,domain_distance,in_domain,1535,0.9136904761904762,0.13768786961896218,0.0787289808209338,0.3906158619923677,0.007562775846862844,0.29679617511338796,0.06123778501628664,,,,,,,,
random,ridge_raw,domain_distance,out_of_domain,74,0.04404761904761905,0.12907862146225177,0.09129609173460175,0.18624375980241425,0.05853419406046629,0.1263145655010819,0.22972972972972974,,,,,,,,
reduced_formula_group,dummy_median,domain_distance,boundary,143,0.08578284343131373,0.09792401582496772,0.0483094696473264,0.17747438707899407,-0.057285598087467866,-0.07067683660076662,0.0,,,,,,,,
reduced_formula_group,dummy_median,domain_distance,in_domain,1377,0.8260347930413917,0.10969186084937667,0.0382879322006548,0.49213517723977285,-0.07802384807542201,-0.08028824736812804,0.0,,,,,,,,
reduced_formula_group,dummy_median,domain_distance,out_of_domain,147,0.08818236352729454,0.09825590726918063,0.0483094696473264,0.17333391852940686,-0.06840451389921026,-0.06363744625325292,0.0,,,,,,,,
reduced_formula_group,histogram_gradient_boosting_log1p,domain_distance,boundary,143,0.08578284343131373,0.08696262764175401,0.0522366221891744,0.1501659538561129,-0.015277224559837013,0.5466338111404084,0.03496503496503497,,,,,,,,
reduced_formula_group,histogram_gradient_boosting_log1p,domain_distance,in_domain,1377,0.8260347930413917,0.10773279774244478,0.0304899972985853,0.48571473875675836,-0.05067538804311552,0.4498584023607165,0.053013798111837325,,,,,,,,
reduced_formula_group,histogram_gradient_boosting_log1p,domain_distance,out_of_domain,147,0.08818236352729454,0.09196786929613922,0.0593114049999998,0.14556591269762933,-0.009568552805759039,0.48073564672895486,0.08843537414965986,,,,,,,,
reduced_formula_group,histogram_gradient_boosting_raw,domain_distance,boundary,143,0.08578284343131373,0.10291777310098756,0.065791601720369,0.16780999046608003,0.0048320241117937165,0.4172568993725921,0.04895104895104895,,,,,,,,
reduced_formula_group,histogram_gradient_boosting_raw,domain_distance,in_domain,1377,0.8260347930413917,0.12044543720500872,0.0403823673237828,0.4844381798516566,-0.038685038889804124,0.385847477927341,0.06681190994916485,,,,,,,,
reduced_formula_group,histogram_gradient_boosting_raw,domain_distance,out_of_domain,147,0.08818236352729454,0.10363681931702644,0.0633576405157261,0.1546891369444417,0.004347694392060699,0.40180723389279693,0.10884353741496598,,,,,,,,
reduced_formula_group,ridge_log1p,domain_distance,boundary,143,0.08578284343131373,0.09115273906105072,0.0506365810764849,0.15844752229530526,-0.018053255035392415,0.5312511042713891,0.1048951048951049,,,,,,,,
reduced_formula_group,ridge_log1p,domain_distance,in_domain,1377,0.8260347930413917,0.12569740351316966,0.0572390339849181,0.4829443100497351,-0.030568507414253755,0.3491582494045879,0.025417574437182282,,,,,,,,
reduced_formula_group,ridge_log1p,domain_distance,out_of_domain,147,0.08818236352729454,0.10182261138605607,0.0677799198778515,0.15632807287722206,0.00028096853850543836,0.4746039468286707,0.1564625850340136,,,,,,,,
reduced_formula_group,ridge_raw,domain_distance,boundary,143,0.08578284343131373,0.10134541641970941,0.0629694358198489,0.16378852991173326,0.002422782863372435,0.46953087223066936,0.18181818181818182,,,,,,,,
reduced_formula_group,ridge_raw,domain_distance,in_domain,1377,0.8260347930413917,0.15546672298487835,0.0801066295484776,0.48599863171009783,0.0038642579749847963,0.2915870906782788,0.05737109658678286,,,,,,,,
reduced_formula_group,ridge_raw,domain_distance,out_of_domain,147,0.08818236352729454,0.11312760924565472,0.0775749571181388,0.16441661098647642,0.02050746251176665,0.47810068155900953,0.20408163265306123,,,,,,,,
chemical_system_group,dummy_median,distance_error_relationship,,1612,,,,,,,,distance_error_relationship,0.07188161471058772,0.040887980075890354,0.0412778951130912,0.0500375677864592,1.2237720643961063,weak distance-error relationship,
chemical_system_group,dummy_median,distance_error_relationship,,403,,,0.0479640358821439,,,,,distance_bin,0.07188161471058772,,,,,descriptive distance bin; not calibrated uncertainty,q0
chemical_system_group,dummy_median,distance_error_relationship,,403,,,0.041699458029694,,,,,distance_bin,0.07188161471058772,,,,,descriptive distance bin; not calibrated uncertainty,q1
chemical_system_group,dummy_median,distance_error_relationship,,403,,,0.0326371695111573,,,,,distance_bin,0.07188161471058772,,,,,descriptive distance bin; not calibrated uncertainty,q2
chemical_system_group,dummy_median,distance_error_relationship,,403,,,0.0502257435714312,,,,,distance_bin,0.07188161471058772,,,,,descriptive distance bin; not calibrated uncertainty,q3
chemical_system_group,histogram_gradient_boosting_log1p,distance_error_relationship,,1612,,,,,,,,distance_error_relationship,0.269185384006921,0.03246821986934175,0.0556463719366053,0.0655102194398572,2.0176720406441344,weak positive distance-error relationship,
chemical_system_group,histogram_gradient_boosting_log1p,distance_error_relationship,,403,,,0.0253774007918305,,,,,distance_bin,0.269185384006921,,,,,descriptive distance bin; not calibrated uncertainty,q0
chemical_system_group,histogram_gradient_boosting_log1p,distance_error_relationship,,403,,,0.0379726681482346,,,,,distance_bin,0.269185384006921,,,,,descriptive distance bin; not calibrated uncertainty,q1
chemical_system_group,histogram_gradient_boosting_log1p,distance_error_relationship,,403,,,0.0417564268543423,,,,,distance_bin,0.269185384006921,,,,,descriptive distance bin; not calibrated uncertainty,q2
chemical_system_group,histogram_gradient_boosting_log1p,distance_error_relationship,,403,,,0.0634301541356287,,,,,distance_bin,0.269185384006921,,,,,descriptive distance bin; not calibrated uncertainty,q3
chemical_system_group,histogram_gradient_boosting_raw,distance_error_relationship,,1612,,,,,,,,distance_error_relationship,0.2920726893472166,0.039565215794433756,0.067033593957576,0.0761187864604909,1.923881493683138,weak positive distance-error relationship,
chemical_system_group,histogram_gradient_boosting_raw,distance_error_relationship,,403,,,0.0305085234689382,,,,,distance_bin,0.2920726893472166,,,,,descriptive distance bin; not calibrated uncertainty,q0
chemical_system_group,histogram_gradient_boosting_raw,distance_error_relationship,,403,,,0.0399410934283142,,,,,distance_bin,0.2920726893472166,,,,,descriptive distance bin; not calibrated uncertainty,q1
chemical_system_group,histogram_gradient_boosting_raw,distance_error_relationship,,403,,,0.0553059836533615,,,,,distance_bin,0.2920726893472166,,,,,descriptive distance bin; not calibrated uncertainty,q2
chemical_system_group,histogram_gradient_boosting_raw,distance_error_relationship,,403,,,0.0772394372231838,,,,,distance_bin,0.2920726893472166,,,,,descriptive distance bin; not calibrated uncertainty,q3
chemical_system_group,ridge_log1p,distance_error_relationship,,1612,,,,,,,,distance_error_relationship,0.056314024301003525,0.0425908553619715,0.0442915223898017,0.0675363768463823,1.585701350029334,weak distance-error relationship,
chemical_system_group,ridge_log1p,distance_error_relationship,,403,,,0.050049706666666,,,,,distance_bin,0.056314024301003525,,,,,descriptive distance bin; not calibrated uncertainty,q0
chemical_system_group,ridge_log1p,distance_error_relationship,,403,,,0.0383127800162918,,,,,distance_bin,0.056314024301003525,,,,,descriptive distance bin; not calibrated uncertainty,q1
chemical_system_group,ridge_log1p,distance_error_relationship,,403,,,0.0374671594902567,,,,,distance_bin,0.056314024301003525,,,,,descriptive distance bin; not calibrated uncertainty,q2
chemical_system_group,ridge_log1p,distance_error_relationship,,403,,,0.0642883454827044,,,,,distance_bin,0.056314024301003525,,,,,descriptive distance bin; not calibrated uncertainty,q3
chemical_system_group,ridge_raw,distance_error_relationship,,1612,,,,,,,,distance_error_relationship,0.0669312777342233,0.04305910526465105,0.063736003938588,0.0757669732995034,1.7596039869807407,weak distance-error relationship,
chemical_system_group,ridge_raw,distance_error_relationship,,403,,,0.0562793197868422,,,,,distance_bin,0.0669312777342233,,,,,descriptive distance bin; not calibrated uncertainty,q0
chemical_system_group,ridge_raw,distance_error_relationship,,403,,,0.0410040789065252,,,,,distance_bin,0.0669312777342233,,,,,descriptive distance bin; not calibrated uncertainty,q1
chemical_system_group,ridge_raw,distance_error_relationship,,403,,,0.0379658129564925,,,,,distance_bin,0.0669312777342233,,,,,descriptive distance bin; not calibrated uncertainty,q2
chemical_system_group,ridge_raw,distance_error_relationship,,403,,,0.0757669732995034,,,,,distance_bin,0.0669312777342233,,,,,descriptive distance bin; not calibrated uncertainty,q3
random,dummy_median,distance_error_relationship,,1680,,,,,,,,distance_error_relationship,0.175790304026496,0.0411154760241138,0.0480861573704602,0.04845708733701905,1.1785607762050345,weak positive distance-error relationship,
random,dummy_median,distance_error_relationship,,840,,,0.036852848617238046,,,,,distance_bin,0.175790304026496,,,,,descriptive distance bin; not calibrated uncertainty,q0
random,dummy_median,distance_error_relationship,,420,,,0.044547153949403,,,,,distance_bin,0.175790304026496,,,,,descriptive distance bin; not calibrated uncertainty,q1
random,dummy_median,distance_error_relationship,,420,,,0.0470921781473232,,,,,distance_bin,0.175790304026496,,,,,descriptive distance bin; not calibrated uncertainty,q2
random,histogram_gradient_boosting_log1p,distance_error_relationship,,1680,,,,,,,,distance_error_relationship,0.09054794942178003,0.0296949866471228,0.0536405853944828,0.06270035967764465,2.111479638726148,weak distance-error relationship,
random,histogram_gradient_boosting_log1p,distance_error_relationship,,840,,,0.02521276186765975,,,,,distance_bin,0.09054794942178003,,,,,descriptive distance bin; not calibrated uncertainty,q0
random,histogram_gradient_boosting_log1p,distance_error_relationship,,420,,,0.0337765292255141,,,,,distance_bin,0.09054794942178003,,,,,descriptive distance bin; not calibrated uncertainty,q1
random,histogram_gradient_boosting_log1p,distance_error_relationship,,420,,,0.04055218813612255,,,,,distance_bin,0.09054794942178003,,,,,descriptive distance bin; not calibrated uncertainty,q2
random,histogram_gradient_boosting_raw,distance_error_relationship,,1680,,,,,,,,distance_error_relationship,0.10607419441422256,0.0331424054952288,0.0667099863048159,0.08293046591340045,2.5022464324546134,weak distance-error relationship,
random,histogram_gradient_boosting_raw,distance_error_relationship,,840,,,0.02808851689135395,,,,,distance_bin,0.10607419441422256,,,,,descriptive distance bin; not calibrated uncertainty,q0
random,histogram_gradient_boosting_raw,distance_error_relationship,,420,,,0.04242224277090515,,,,,distance_bin,0.10607419441422256,,,,,descriptive distance bin; not calibrated uncertainty,q1
random,histogram_gradient_boosting_raw,distance_error_relationship,,420,,,0.05053920982771205,,,,,distance_bin,0.10607419441422256,,,,,descriptive distance bin; not calibrated uncertainty,q2
random,ridge_log1p,distance_error_relationship,,1680,,,,,,,,distance_error_relationship,-0.10986296909644311,0.0560220757705896,0.0411455895485973,0.0666556811863129,1.189810985570544,weak distance-error relationship,
random,ridge_log1p,distance_error_relationship,,840,,,0.0619943901311088,,,,,distance_bin,-0.10986296909644311,,,,,descriptive distance bin; not calibrated uncertainty,q0
random,ridge_log1p,distance_error_relationship,,420,,,0.05312830813480165,,,,,distance_bin,-0.10986296909644311,,,,,descriptive distance bin; not calibrated uncertainty,q1
random,ridge_log1p,distance_error_relationship,,420,,,0.04803223444750245,,,,,distance_bin,-0.10986296909644311,,,,,descriptive distance bin; not calibrated uncertainty,q2
random,ridge_raw,distance_error_relationship,,1680,,,,,,,,distance_error_relationship,-0.21676281858665464,0.0787289808209338,0.0416124218422588,0.09129609173460175,1.1596249663418277,distance-error relationship is inconsistent or inverse,
random,ridge_raw,distance_error_relationship,,840,,,0.0961520342283011,,,,,distance_bin,-0.21676281858665464,,,,,descriptive distance bin; not calibrated uncertainty,q0
random,ridge_raw,distance_error_relationship,,420,,,0.067093629850912,,,,,distance_bin,-0.21676281858665464,,,,,descriptive distance bin; not calibrated uncertainty,q1
random,ridge_raw,distance_error_relationship,,420,,,0.06367598916118361,,,,,distance_bin,-0.21676281858665464,,,,,descriptive distance bin; not calibrated uncertainty,q2
reduced_formula_group,dummy_median,distance_error_relationship,,1667,,,,,,,,distance_error_relationship,0.17590543072187098,0.0382879322006548,0.0483094696473264,0.0483094696473264,1.261741412258879,weak positive distance-error relationship,
reduced_formula_group,dummy_median,distance_error_relationship,,429,,,0.0382879322006548,,,,,distance_bin,0.17590543072187098,,,,,descriptive distance bin; not calibrated uncertainty,q0
reduced_formula_group,dummy_median,distance_error_relationship,,405,,,0.0271645520195802,,,,,distance_bin,0.17590543072187098,,,,,descriptive distance bin; not calibrated uncertainty,q1
reduced_formula_group,dummy_median,distance_error_relationship,,416,,,0.04433444603040115,,,,,distance_bin,0.17590543072187098,,,,,descriptive distance bin; not calibrated uncertainty,q2
reduced_formula_group,dummy_median,distance_error_relationship,,417,,,0.0480861573704602,,,,,distance_bin,0.17590543072187098,,,,,descriptive distance bin; not calibrated uncertainty,q3
reduced_formula_group,histogram_gradient_boosting_log1p,distance_error_relationship,,1667,,,,,,,,distance_error_relationship,0.21712053637726086,0.0304899972985853,0.0522366221891744,0.0593114049999998,1.9452741966215845,weak positive distance-error relationship,
reduced_formula_group,histogram_gradient_boosting_log1p,distance_error_relationship,,429,,,0.0268650647257388,,,,,distance_bin,0.21712053637726086,,,,,descriptive distance bin; not calibrated uncertainty,q0
reduced_formula_group,histogram_gradient_boosting_log1p,distance_error_relationship,,405,,,0.0254472146988081,,,,,distance_bin,0.21712053637726086,,,,,descriptive distance bin; not calibrated uncertainty,q1
reduced_formula_group,histogram_gradient_boosting_log1p,distance_error_relationship,,416,,,0.04005402539178965,,,,,distance_bin,0.21712053637726086,,,,,descriptive distance bin; not calibrated uncertainty,q2
reduced_formula_group,histogram_gradient_boosting_log1p,distance_error_relationship,,417,,,0.0465615317381382,,,,,distance_bin,0.21712053637726086,,,,,descriptive distance bin; not calibrated uncertainty,q3
reduced_formula_group,histogram_gradient_boosting_raw,distance_error_relationship,,1667,,,,,,,,distance_error_relationship,0.17999302281744967,0.0403823673237828,0.065791601720369,0.0633576405157261,1.5689431976022918,weak positive distance-error relationship,
reduced_formula_group,histogram_gradient_boosting_raw,distance_error_relationship,,429,,,0.0344846121666648,,,,,distance_bin,0.17999302281744967,,,,,descriptive distance bin; not calibrated uncertainty,q0
reduced_formula_group,histogram_gradient_boosting_raw,distance_error_relationship,,405,,,0.0386469276333774,,,,,distance_bin,0.17999302281744967,,,,,descriptive distance bin; not calibrated uncertainty,q1
reduced_formula_group,histogram_gradient_boosting_raw,distance_error_relationship,,416,,,0.04410682587980605,,,,,distance_bin,0.17999302281744967,,,,,descriptive distance bin; not calibrated uncertainty,q2
reduced_formula_group,histogram_gradient_boosting_raw,distance_error_relationship,,417,,,0.0603878230347132,,,,,distance_bin,0.17999302281744967,,,,,descriptive distance bin; not calibrated uncertainty,q3
reduced_formula_group,ridge_log1p,distance_error_relationship,,1667,,,,,,,,distance_error_relationship,-0.026864251435402265,0.0572390339849181,0.0506365810764849,0.0677799198778515,1.184155551886337,weak distance-error relationship,
reduced_formula_group,ridge_log1p,distance_error_relationship,,429,,,0.0663481931197665,,,,,distance_bin,-0.026864251435402265,,,,,descriptive distance bin; not calibrated uncertainty,q0
reduced_formula_group,ridge_log1p,distance_error_relationship,,405,,,0.0553524686860738,,,,,distance_bin,-0.026864251435402265,,,,,descriptive distance bin; not calibrated uncertainty,q1
reduced_formula_group,ridge_log1p,distance_error_relationship,,416,,,0.05513289554020635,,,,,distance_bin,-0.026864251435402265,,,,,descriptive distance bin; not calibrated uncertainty,q2
reduced_formula_group,ridge_log1p,distance_error_relationship,,417,,,0.0514068887007071,,,,,distance_bin,-0.026864251435402265,,,,,descriptive distance bin; not calibrated uncertainty,q3
reduced_formula_group,ridge_raw,distance_error_relationship,,1667,,,,,,,,distance_error_relationship,-0.0946057950678552,0.0801066295484776,0.0629694358198489,0.0775749571181388,0.968396218332882,weak distance-error relationship,
reduced_formula_group,ridge_raw,distance_error_relationship,,429,,,0.0898770240033788,,,,,distance_bin,-0.0946057950678552,,,,,descriptive distance bin; not calibrated uncertainty,q0
reduced_formula_group,ridge_raw,distance_error_relationship,,405,,,0.0953627808414745,,,,,distance_bin,-0.0946057950678552,,,,,descriptive distance bin; not calibrated uncertainty,q1
reduced_formula_group,ridge_raw,distance_error_relationship,,416,,,0.07400773471573985,,,,,distance_bin,-0.0946057950678552,,,,,descriptive distance bin; not calibrated uncertainty,q2
reduced_formula_group,ridge_raw,distance_error_relationship,,417,,,0.0644305161317777,,,,,distance_bin,-0.0946057950678552,,,,,descriptive distance bin; not calibrated uncertainty,q3
