case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,model_name,model_type,train_rows,validation_rows,test_rows,train_failures,validation_failures,test_failures,train_time_start,train_time_end,validation_time_start,validation_time_end,test_time_start,test_time_end,temporal_overlap,sample_overlap_count,leakage_status,feasibility_status,primary_evidence,threshold,true_negative,false_positive,false_negative,true_positive,balanced_accuracy,mcc,f1,precision,recall,specificity,negative_predictive_value,accuracy,predicted_positive_rate,threshold_selection_policy,threshold_selected_using_test_labels,status
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_70_15,expanding_train_future_test,primary_temporal,random_forest_balanced,random_forest,1096,0,235,78,0,17,2008-07-19 11:55:00,2008-09-26 02:26:00,,,2008-09-26 03:12:00,2008-10-05 18:59:00,none,0,no_future_to_past,feasible,True,0.5,218,0,17,0,0.5,,,,0.0,1.0,0.9276595744680851,0.9276595744680851,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_70_15,expanding_train_future_test,primary_temporal,hist_gradient_boosting_balanced,hist_gradient_boosting,1096,0,235,78,0,17,2008-07-19 11:55:00,2008-09-26 02:26:00,,,2008-09-26 03:12:00,2008-10-05 18:59:00,none,0,no_future_to_past,feasible,True,0.5,213,5,17,0,0.48853211009174313,-0.041173453714569534,,0.0,0.0,0.9770642201834863,0.9260869565217391,0.9063829787234042,0.02127659574468085,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,final_holdout_period_80_20,final_holdout_period,primary_temporal,dummy_prior,dummy_prior,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,297,0,17,0,0.5,,,,0.0,1.0,0.945859872611465,0.945859872611465,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,final_holdout_period_80_20,final_holdout_period,primary_temporal,logistic_regression_balanced,logistic_regression,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,281,16,14,3,0.5612992671816202,0.11635904688252087,0.16666666666666669,0.15789473684210525,0.17647058823529413,0.9461279461279462,0.9525423728813559,0.9044585987261147,0.06050955414012739,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,final_holdout_period_80_20,final_holdout_period,primary_temporal,random_forest_balanced,random_forest,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,297,0,17,0,0.5,,,,0.0,1.0,0.945859872611465,0.945859872611465,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,final_holdout_period_80_20,final_holdout_period,primary_temporal,hist_gradient_boosting_balanced,hist_gradient_boosting,1253,0,314,87,0,17,2008-07-19 11:55:00,2008-10-02 19:25:00,,,2008-10-02 20:54:00,2008-10-17 06:07:00,none,0,no_future_to_past,feasible,True,0.5,290,7,16,1,0.5176272529213706,0.05063042934659186,0.07999999999999999,0.125,0.058823529411764705,0.9764309764309764,0.9477124183006536,0.9267515923566879,0.025477707006369428,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_1,blocked_chronological_fold,primary_temporal,dummy_prior,dummy_prior,313,0,313,44,0,21,2008-07-19 11:55:00,2008-08-19 18:12:00,,,2008-08-19 18:30:00,2008-09-01 06:21:00,none,0,no_future_to_past,feasible,True,0.5,292,0,21,0,0.5,,,,0.0,1.0,0.9329073482428115,0.9329073482428115,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_1,blocked_chronological_fold,primary_temporal,logistic_regression_balanced,logistic_regression,313,0,313,44,0,21,2008-07-19 11:55:00,2008-08-19 18:12:00,,,2008-08-19 18:30:00,2008-09-01 06:21:00,none,0,no_future_to_past,feasible,True,0.5,193,99,15,6,0.47333659491193736,-0.028256629848308037,0.09523809523809522,0.05714285714285714,0.2857142857142857,0.660958904109589,0.9278846153846154,0.6357827476038339,0.3354632587859425,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_1,blocked_chronological_fold,primary_temporal,random_forest_balanced,random_forest,313,0,313,44,0,21,2008-07-19 11:55:00,2008-08-19 18:12:00,,,2008-08-19 18:30:00,2008-09-01 06:21:00,none,0,no_future_to_past,feasible,True,0.5,292,0,21,0,0.5,,,,0.0,1.0,0.9329073482428115,0.9329073482428115,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,blocked_chronological_fold_1,blocked_chronological_fold,primary_temporal,hist_gradient_boosting_balanced,hist_gradient_boosting,313,0,313,44,0,21,2008-07-19 11:55:00,2008-08-19 18:12:00,,,2008-08-19 18:30:00,2008-09-01 06:21:00,none,0,no_future_to_past,feasible,True,0.5,227,65,17,4,0.48393672537508153,-0.019388566230851452,0.08888888888888889,0.057971014492753624,0.19047619047619047,0.7773972602739726,0.930327868852459,0.7380191693290735,0.22044728434504793,fixed_default_0_5,False,valid
