schema_version,comparison_id,baseline_feature_set,candidate_feature_set,split_strategy,model_variant,valid_fold_count,mae_improvement_mean,mae_improvement_median,mae_improvement_std,mae_improvement_min,mae_improvement_max,rmse_improvement_mean,rmse_improvement_median,r2_delta_mean,r2_delta_median,improved_fold_fraction_mae,improved_fold_fraction_rmse,improvement_sign_convention,status
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,chemical_system_group,ridge_log1p,10,-19.426297970866035,0.002082883019527103,58.28255675793081,-194.27396672061326,0.009559550591342794,-221.49051138844416,0.0032526437479049528,-6072427.005116367,0.024233957962996322,0.6,0.7,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,chemical_system_group,ridge_raw,10,-0.017243878823055427,-0.002678993245506904,0.04424676089893011,-0.14791522691672382,0.0076986161076614545,-0.1367472978705493,-0.006758012253950535,-3.194219035616954,-0.09097953252262547,0.5,0.2,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,random,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,random,histogram_gradient_boosting_log1p,10,-0.0032236745803708965,-0.003251385831230698,0.007318994833827547,-0.015318505727247134,0.009312809019914728,-0.0058574338003987165,-0.007893950099261714,-0.22409069123845343,-0.03616902998899291,0.3,0.3,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,random,histogram_gradient_boosting_raw,10,-0.009528124069441717,-0.010052088656762277,0.012985351979462389,-0.0336312611514174,0.006065289060351933,-0.005996186836852377,-0.014734382535444568,-0.04116917300704801,-0.06556877898753904,0.3,0.3,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,random,ridge_log1p,10,-10.29492167863956,-0.00021310579973140426,28.55362877529982,-95.71048007776615,0.00636185279935661,-133.41496169155525,0.0023323208839107906,-2383541.586442535,0.0188101182515667,0.5,0.6,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,random,ridge_raw,10,-0.015995260677974778,-0.010464613668240752,0.022225960467793043,-0.06469938234904751,0.004202739601246008,-0.13577537892654717,-0.012669798153678427,-2.7796014279724384,-0.2091905580999619,0.3,0.4,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,histogram_gradient_boosting_log1p,10,-0.01063819871940069,-0.008087121598434187,0.011933278124349661,-0.03470663845824273,0.0030518189095099513,-0.004856347327479688,0.000978227259160136,-0.05961926200426554,0.0030611783059484865,0.3,0.5,positive_means_candidate_better,valid
2.2.5,A_vs_D,known_structure_composition_baseline_v1,known_structure_baseline_plus_structure_v1,reduced_formula_group,histogram_gradient_boosting_raw,10,-0.017170667197743,-0.013741947979882457,0.02128103271960873,-0.05315856870308833,0.01099400418045475,-0.022084206131813864,-0.00989309605306371,-0.24960371998169525,-0.04426374827945012,0.3,0.2,positive_means_candidate_better,valid
