model_name,feature_set,weighting_policy,model_status,selected_representative_model,primary_median_pr_auc,combined_pr_auc,random_reference_pr_auc,dummy_primary_median_pr_auc,primary_pr_auc_improvement_vs_dummy,random_primary_pr_auc_gap,primary_median_roc_auc,primary_median_mcc,primary_median_recall,primary_median_precision,primary_median_brier_score,resource_status,decision_basis
dummy_prior,smart_only_conservative,asset_balanced,diagnostic_only,False,0.0011165594353176338,0.0011165594353176338,0.0009800745428958904,0.0011165594353176338,0.0,-0.00013648489242174336,0.5,,1.0,0.0011165594353176338,0.6483491345892275,not_subsampled,small_lift_or_weak_combined_pr_auc
dummy_prior,smart_only_conservative,raw_row,diagnostic_only,False,0.0011165594353176338,0.0011165594353176338,0.0009800745428958904,0.0011165594353176338,0.0,-0.00013648489242174336,0.5,,1.0,0.0010521978062419746,0.25000000001022565,not_subsampled,small_lift_or_weak_combined_pr_auc
dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,diagnostic_only,False,0.0011165594353176338,0.0011165594353176338,0.0009800745428958904,0.0011165594353176338,0.0,-0.00013648489242174336,0.5,,1.0,0.0011165594353176338,0.6483491345892275,not_subsampled,small_lift_or_weak_combined_pr_auc
dummy_prior,smart_plus_safe_operational_metadata,raw_row,diagnostic_only,False,0.0011165594353176338,0.0011165594353176338,0.0009800745428958904,0.0011165594353176338,0.0,-0.00013648489242174336,0.5,,1.0,0.0010521978062419746,0.25000000001022565,not_subsampled,small_lift_or_weak_combined_pr_auc
hist_gradient_boosting,smart_only_conservative,asset_balanced,candidate_for_further_validation,False,0.05741503201803866,0.06909006734454047,0.038862424186682745,0.0011165594353176338,0.056298472582721026,-0.018552607831355913,0.9476523589284679,0.09375760261717099,0.8540540540540541,0.011602717091977235,0.0866658214369548,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
hist_gradient_boosting,smart_only_conservative,raw_row,candidate_for_further_validation,False,0.07033040264980857,0.07033040264980857,0.038758311033356425,0.0011165594353176338,0.06921384321449094,-0.03157209161645214,0.9463102143814912,0.0832204903147297,0.8743243243243243,0.009210619972951811,0.10984726961773968,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,candidate_for_further_validation,False,0.05696062736807217,0.06312688065714381,0.0327633653147557,0.0011165594353176338,0.05584406793275454,-0.024197262053316466,0.9461235243118808,0.1106395015555379,0.8243243243243243,0.01524390243902439,0.08405040962504555,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
hist_gradient_boosting,smart_plus_safe_operational_metadata,raw_row,candidate_for_further_validation,False,0.06712500039349657,0.06712500039349657,0.03983303426473839,0.0011165594353176338,0.06600844095817894,-0.027291966128758186,0.9462629049535712,0.09381208972239297,0.8531468531468531,0.011552480385494533,0.10735499485078202,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
logistic_regression,smart_only_conservative,asset_balanced,candidate_for_further_validation,False,0.05726884833733351,0.06736604857153632,0.033751677291625995,0.0011165594353176338,0.05615228890201588,-0.023517171045707518,0.8545157108891399,0.04925988458381053,0.6472972972972973,0.005062555578055803,0.13220025897319895,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
logistic_regression,smart_only_conservative,raw_row,candidate_for_further_validation,False,0.061198847238863416,0.07147281139049914,0.03531117377917735,0.0011165594353176338,0.060082287803545784,-0.025887673459686067,0.8515448252708511,0.037129417445662866,0.7418918918918919,0.0033233339215340274,0.1574256606668087,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,candidate_for_further_validation,False,0.05052398458660769,0.06357150306272183,0.03624501046804802,0.0011165594353176338,0.049407425151290055,-0.014278974118559669,0.8686520767949503,0.08675871426779745,0.6643356643356644,0.014162194394752534,0.07789113014776264,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
logistic_regression,smart_plus_safe_operational_metadata,raw_row,candidate_for_further_validation,False,0.05448057886867478,0.06774371089177526,0.038697861504607335,0.0011165594353176338,0.05336401943335715,-0.015782717364067445,0.8733710144015656,0.04948173761972763,0.7391891891891892,0.004742541551426664,0.12693298836744613,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
random_forest,smart_only_conservative,asset_balanced,candidate_for_further_validation,False,0.0760378860358868,0.0760378860358868,0.1372435833310838,0.0011165594353176338,0.07492132660056917,0.061205697295196995,0.9385220546129927,0.14059749302493105,0.7743243243243243,0.025451381335653687,0.04267351441573716,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
random_forest,smart_only_conservative,raw_row,candidate_for_further_validation,False,0.07308187402212753,0.11192704419679156,0.14421929110191245,0.0011165594353176338,0.0719653145868099,0.07113741707978492,0.9408917167798041,0.10218164880337653,0.8094594594594594,0.01460236319450264,0.07778458039073413,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
random_forest,smart_plus_safe_operational_metadata,asset_balanced,candidate_for_further_validation,False,0.08536936713688811,0.08536936713688811,0.15135353515133676,0.0011165594353176338,0.08425280770157048,0.06598416801444865,0.944326801591876,0.1438859169179624,0.7932432432432432,0.027461988304093566,0.04299053140613291,resource_limited_subsampled_training,all_non_dummy_models_resource_limited; lift_observed_requires_trust_boundary_review
