case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,claim_scope,feature_set,weighting_policy,model_name,model_type,train_rows,validation_rows,test_rows,train_assets,validation_assets,test_assets,train_positives,validation_positives,test_positives,train_positive_assets,test_positive_assets,train_date_start,train_date_end,test_date_start,test_date_end,asset_overlap_count,temporal_overlap,sample_overlap_count,leakage_status,feasibility_status,primary_evidence,training_subsample_status,fit_train_rows,fit_train_assets,fit_train_positives,test_set_subsampled,threshold,true_negative,false_positive,false_negative,true_positive,balanced_accuracy,mcc,f1,precision,recall,specificity,negative_predictive_value,accuracy,predicted_positive_rate,threshold_selection_policy,threshold_selected_using_test_labels,status
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,random_forest,random_forest,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,120000,21844,3834,False,0.5,947250,26645,252,711,0.8554792723869702,0.13523749715326092,0.05021363748719941,0.025990641906711506,0.7383177570093458,0.9726407877645947,0.9997340375007124,0.9724093149976715,0.02806152280639847,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,200000,22411,3834,False,0.5,919223,54672,226,737,0.8545896249847332,0.09622130730371073,0.02614773291705102,0.013301088270858524,0.7653167185877466,0.9438625313817198,0.9997542006136284,0.9436861573685603,0.05683802153749572,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,raw_row,dummy_prior,dummy_prior,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,not_subsampled,3917624,23244,3834,False,0.5,0,973895,0,963,0.5,,0.0019737226397054377,0.0009878361771663154,1.0,0.0,,0.0009878361771663154,1.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,raw_row,logistic_regression,logistic_regression,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,250000,22556,3834,False,0.5,816058,157837,264,699,0.7818944592192902,0.04799445322064038,0.008764945234766362,0.004409093202805672,0.7258566978193146,0.837932220619266,0.99967659820512,0.8378215083632693,0.16262471047065316,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,raw_row,random_forest,random_forest,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,120000,21844,3834,False,0.5,929530,44365,235,728,0.8552083660040903,0.10625300750088908,0.031613687684557926,0.01614441265828399,0.7559709241952233,0.9544458078129573,0.9997472479605062,0.9542497471426608,0.046255967535784696,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,raw_row,hist_gradient_boosting,hist_gradient_boosting,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,200000,22411,3834,False,0.5,909895,64000,215,748,0.8555119264836384,0.08970016871152041,0.022766355709089803,0.011552480385494533,0.7767393561786086,0.9342844967886682,0.9997637648196371,0.9341288679992368,0.06641787829612107,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,asset_balanced,dummy_prior,dummy_prior,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,not_subsampled,4252306,28055,4057,False,0.5,0,639436,0,740,0.5,,0.0023091949647067633,0.0011559321186673664,1.0,0.0,,0.0011559321186673664,1.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,asset_balanced,logistic_regression,logistic_regression,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,250000,27377,4057,False,0.5,572494,66942,261,479,0.7713040824997299,0.06006461346952886,0.014054958113877435,0.007104611322881595,0.6472972972972973,0.8953108677021625,0.9995443077755759,0.8950241808502661,0.1053163505036115,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,asset_balanced,random_forest,random_forest,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,120000,26221,4057,False,0.5,621540,17896,167,573,0.8731685803181621,0.15150776727871587,0.05965953459315946,0.031024960745032217,0.7743243243243243,0.972012836312,0.9997313847198117,0.9717843218115019,0.028849878783334584,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True,subsampled_training,200000,27131,4057,False,0.5,585598,53838,108,632,0.8849289906324543,0.09375760261717099,0.022894403187828292,0.011602717091977235,0.8540540540540541,0.9158039272108546,0.9998156071476133,0.915732548549149,0.08508597635650196,fixed_default_0_5,False,valid
