model_name,feature_set,weighting_policy,metric,random_reference,primary_median,random_minus_primary_gap,interpretation
dummy_prior,smart_only_conservative,asset_balanced,average_precision,0.0009800745428958904,0.0011165594353176338,-0.00013648489242174336,no_large_random_primary_gap
dummy_prior,smart_only_conservative,asset_balanced,roc_auc,0.5,0.5,0.0,no_large_random_primary_gap
dummy_prior,smart_only_conservative,asset_balanced,mcc,,,,unavailable
dummy_prior,smart_only_conservative,asset_balanced,recall,1.0,1.0,0.0,no_large_random_primary_gap
dummy_prior,smart_only_conservative,raw_row,average_precision,0.0009800745428958904,0.0011165594353176338,-0.00013648489242174336,no_large_random_primary_gap
dummy_prior,smart_only_conservative,raw_row,roc_auc,0.5,0.5,0.0,no_large_random_primary_gap
dummy_prior,smart_only_conservative,raw_row,mcc,,,,unavailable
dummy_prior,smart_only_conservative,raw_row,recall,0.0,1.0,-1.0,no_large_random_primary_gap
dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,average_precision,0.0009800745428958904,0.0011165594353176338,-0.00013648489242174336,no_large_random_primary_gap
dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,roc_auc,0.5,0.5,0.0,no_large_random_primary_gap
dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,mcc,,,,unavailable
dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,recall,1.0,1.0,0.0,no_large_random_primary_gap
dummy_prior,smart_plus_safe_operational_metadata,raw_row,average_precision,0.0009800745428958904,0.0011165594353176338,-0.00013648489242174336,no_large_random_primary_gap
dummy_prior,smart_plus_safe_operational_metadata,raw_row,roc_auc,0.5,0.5,0.0,no_large_random_primary_gap
dummy_prior,smart_plus_safe_operational_metadata,raw_row,mcc,,,,unavailable
dummy_prior,smart_plus_safe_operational_metadata,raw_row,recall,0.0,1.0,-1.0,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,asset_balanced,average_precision,0.038862424186682745,0.05741503201803866,-0.018552607831355913,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,asset_balanced,roc_auc,0.9362641350750484,0.9476523589284679,-0.011388223853419532,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,asset_balanced,mcc,0.0862951605529466,0.09375760261717099,-0.007462442064224389,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,asset_balanced,recall,0.7789363920750783,0.8540540540540541,-0.07511766197897585,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,raw_row,average_precision,0.038758311033356425,0.07033040264980857,-0.03157209161645214,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,raw_row,roc_auc,0.9319592158735844,0.9463102143814912,-0.014350998507906776,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,raw_row,mcc,0.07549945500025136,0.0832204903147297,-0.007721035314478333,no_large_random_primary_gap
hist_gradient_boosting,smart_only_conservative,raw_row,recall,0.7768508863399375,0.8743243243243243,-0.09747343798438679,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,average_precision,0.0327633653147557,0.05696062736807217,-0.024197262053316466,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,roc_auc,0.933160322342949,0.9461235243118808,-0.012963201968931859,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,mcc,0.08965875900567749,0.1106395015555379,-0.020980742549860404,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,recall,0.7778936392075079,0.8243243243243243,-0.04643068511681647,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,raw_row,average_precision,0.03983303426473839,0.06712500039349657,-0.027291966128758186,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,raw_row,roc_auc,0.9349502513999167,0.9462629049535712,-0.011312653553654517,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,raw_row,mcc,0.0787983521247367,0.09381208972239297,-0.015013737597656271,no_large_random_primary_gap
hist_gradient_boosting,smart_plus_safe_operational_metadata,raw_row,recall,0.7747653806047967,0.8531468531468531,-0.07838147254205641,no_large_random_primary_gap
logistic_regression,smart_only_conservative,asset_balanced,average_precision,0.033751677291625995,0.05726884833733351,-0.023517171045707518,no_large_random_primary_gap
logistic_regression,smart_only_conservative,asset_balanced,roc_auc,0.8410290858370201,0.8545157108891399,-0.013486625052119838,no_large_random_primary_gap
logistic_regression,smart_only_conservative,asset_balanced,mcc,0.04714596765352709,0.04925988458381053,-0.002113916930283441,no_large_random_primary_gap
logistic_regression,smart_only_conservative,asset_balanced,recall,0.6058394160583942,0.6472972972972973,-0.04145788123890315,no_large_random_primary_gap
logistic_regression,smart_only_conservative,raw_row,average_precision,0.03531117377917735,0.061198847238863416,-0.025887673459686067,no_large_random_primary_gap
logistic_regression,smart_only_conservative,raw_row,roc_auc,0.8374430557194472,0.8515448252708511,-0.014101769551403853,no_large_random_primary_gap
logistic_regression,smart_only_conservative,raw_row,mcc,0.038824279861882326,0.037129417445662866,0.00169486241621946,no_large_random_primary_gap
logistic_regression,smart_only_conservative,raw_row,recall,0.6538060479666319,0.7418918918918919,-0.08808584392525998,no_large_random_primary_gap
logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,average_precision,0.03624501046804802,0.05052398458660769,-0.014278974118559669,no_large_random_primary_gap
logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,roc_auc,0.8693095334515462,0.8686520767949503,0.0006574566565958895,no_large_random_primary_gap
logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,mcc,0.04527773763377499,0.08675871426779745,-0.04148097663402246,no_large_random_primary_gap
logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,recall,0.721584984358707,0.6643356643356644,0.057249320023042616,random_reference_substantially_higher_possible_same_asset_or_temporal_dependence
logistic_regression,smart_plus_safe_operational_metadata,raw_row,average_precision,0.038697861504607335,0.05448057886867478,-0.015782717364067445,no_large_random_primary_gap
logistic_regression,smart_plus_safe_operational_metadata,raw_row,roc_auc,0.8792263997626896,0.8733710144015656,0.005855385361123955,no_large_random_primary_gap
logistic_regression,smart_plus_safe_operational_metadata,raw_row,mcc,0.04973775398109874,0.04948173761972763,0.0002560163613711114,no_large_random_primary_gap
