zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32
Michigan Expansion.zip,Michigan Expansion/MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C_cycle_data.csv,MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C_cycle_data.csv,cycle_data,36246,11647,e3a060e2
Michigan Expansion.zip,Michigan Expansion/MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C_cycle_data.csv,MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C_cycle_data.csv,cycle_data,11229,3621,39f4f13c
Michigan Expansion.zip,Michigan Expansion/MICH_07R_pouch_NMC_25C_0-100_2-2C_cycle_data.csv,MICH_07R_pouch_NMC_25C_0-100_2-2C_cycle_data.csv,cycle_data,15821,5219,4e9a97d1
Michigan Expansion.zip,Michigan Expansion/MICH_08C_pouch_NMC_-5C_0-100_2-2C_cycle_data.csv,MICH_08C_pouch_NMC_-5C_0-100_2-2C_cycle_data.csv,cycle_data,36744,11524,b13f336b
Michigan Expansion.zip,Michigan Expansion/MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,cycle_data,11330,3791,0b046b81
Michigan Expansion.zip,Michigan Expansion/MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,cycle_data,27716,9227,2dac4de3
Michigan Expansion.zip,Michigan Expansion/MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,cycle_data,33707,10942,f1540244
Michigan Expansion.zip,Michigan Expansion/MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,cycle_data,11636,4041,47d5e1e2
Michigan Expansion.zip,Michigan Expansion/MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,cycle_data,32303,8155,40836c4f
Michigan Expansion.zip,Michigan Expansion/MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,cycle_data,27130,6925,eb7f0eb3
Michigan Expansion.zip,Michigan Expansion/MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,cycle_data,10365,2635,842aec72
Michigan Expansion.zip,Michigan Expansion/MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,cycle_data,34390,8783,f59559f6
Michigan Expansion.zip,Michigan Expansion/MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,cycle_data,36819,9574,52ddd0d3
Michigan Expansion.zip,Michigan Expansion/MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,cycle_data,18926,4745,17fb1400
Michigan Formation.zip,Michigan Formation/MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,cycle_data,32775,10202,8a044fa3
Michigan Formation.zip,Michigan Formation/MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,cycle_data,28477,8911,7bea84d4
Michigan Formation.zip,Michigan Formation/MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,cycle_data,29026,9047,78ad34ca
Michigan Formation.zip,Michigan Formation/MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,cycle_data,29344,9164,519d8e9a
Michigan Formation.zip,Michigan Formation/MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,cycle_data,32039,9992,e16b2809
Michigan Formation.zip,Michigan Formation/MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,cycle_data,29707,9260,0df3172a
Michigan Formation.zip,Michigan Formation/MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,cycle_data,29678,9221,677c04b5
Michigan Formation.zip,Michigan Formation/MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,cycle_data,29768,9354,fdc90e49
Michigan Formation.zip,Michigan Formation/MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,cycle_data,29399,9200,020d2a09
Michigan Formation.zip,Michigan Formation/MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,cycle_data,29734,9400,af9829e3
Michigan Formation.zip,Michigan Formation/MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,cycle_data,32984,10319,0a120761
Michigan Formation.zip,Michigan Formation/MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,cycle_data,29680,9273,7a8e4917
Michigan Formation.zip,Michigan Formation/MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,cycle_data,33021,10324,1b25eed0
Michigan Formation.zip,Michigan Formation/MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,cycle_data,34336,10787,b633ffb9
Michigan Formation.zip,Michigan Formation/MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,cycle_data,32962,10293,3ca22e72
Michigan Formation.zip,Michigan Formation/MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,cycle_data,32869,10240,8d77135b
Michigan Formation.zip,Michigan Formation/MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,cycle_data,32495,10040,353cd006
