case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,claim_scope,train_rows,validation_rows,test_rows,train_assets,validation_assets,test_assets,train_positives,validation_positives,test_positives,train_positive_assets,test_positive_assets,train_date_start,train_date_end,test_date_start,test_date_end,asset_overlap_count,temporal_overlap,sample_overlap_count,leakage_status,feasibility_status,primary_evidence
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,final_month_holdout,time_aware,primary_time_aware,future_known_population_prediction,4252306,0,640176,28055,0,27519,4057,0,740,616,131,2013-04-10,2013-11-30,2013-12-01,2013-12-30,26518,none,0,future_dates_test_only,feasible,True
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,combined_asset_disjoint_future_holdout,combined_asset_time,primary_combined_asset_time,future_unseen_asset_generalization,3429778,0,128072,22757,0,5504,4018,0,143,607,26,2013-04-10,2013-11-30,2013-12-01,2013-12-30,0,none,0,asset_overlap_0_and_future_dates_test_only,feasible,True
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,stratified_random_row_reference_80_20,random_row_reference,optimistic_random_reference,optimistic_reference_only,3913985,0,978497,29054,0,28762,3838,0,959,704,540,2013-04-10,2013-12-30,2013-04-10,2013-12-30,28760,overlap_allowed_or_reference,0,same_asset_and_temporal_mixing_possible,feasible,False
