case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,claim_scope,feature_set,weighting_policy,model_name,model_type,split_rows,top_fraction,top_n,positive_rows_in_top,precision_at_top_fraction,lift_over_prevalence,failed_asset_capture_rate,status
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,974858,0.005,4875,333,0.0683076923076923,69.1488061346753,0.48936170212765956,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,974858,0.01,9749,444,0.04554313262898759,46.10393269826541,0.6099290780141844,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,974858,0.05,48743,712,0.014607225652914264,14.787093235253058,0.8723404255319149,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,dummy_prior,dummy_prior,974858,0.001,975,0,0.0,0.0,0.0,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,dummy_prior,dummy_prior,974858,0.005,4875,14,0.002871794871794872,2.907157014671034,0.014184397163120567,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,dummy_prior,dummy_prior,974858,0.01,9749,14,0.0014360447225356446,1.4537276076029633,0.014184397163120567,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,dummy_prior,dummy_prior,974858,0.05,48743,96,0.0019695135711794514,1.9937653800341202,0.09929078014184398,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,logistic_regression,logistic_regression,974858,0.001,975,67,0.06871794871794872,69.5641142796283,0.11347517730496454,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,logistic_regression,logistic_regression,974858,0.005,4875,343,0.07035897435897435,71.22534685944032,0.5177304964539007,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,logistic_regression,logistic_regression,974858,0.01,9749,422,0.043286490922145864,43.81950360060361,0.6028368794326241,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,logistic_regression,logistic_regression,974858,0.05,48743,512,0.01050407237962374,10.633415360181974,0.7092198581560284,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,random_forest,random_forest,974858,0.001,975,129,0.13230769230769232,133.93687674734406,0.2695035460992908,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,random_forest,random_forest,974858,0.005,4875,322,0.06605128205128205,66.86461133743377,0.5177304964539007,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,random_forest,random_forest,974858,0.01,9749,440,0.04513283413683455,45.68858195323599,0.624113475177305,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,random_forest,random_forest,974858,0.05,48743,698,0.014320004923783929,14.496335783998083,0.8936170212765957,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,hist_gradient_boosting,hist_gradient_boosting,974858,0.001,975,116,0.11897435897435897,120.43936203637139,0.2198581560283688,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,hist_gradient_boosting,hist_gradient_boosting,974858,0.005,4875,338,0.06933333333333333,70.1870764970578,0.5319148936170213,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,hist_gradient_boosting,hist_gradient_boosting,974858,0.01,9749,448,0.04595343112114063,46.519283443294825,0.6382978723404256,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,hist_gradient_boosting,hist_gradient_boosting,974858,0.05,48743,711,0.014586709886547812,14.766324845877703,0.8439716312056738,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,dummy_prior,dummy_prior,974858,0.001,975,0,0.0,0.0,0.0,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,dummy_prior,dummy_prior,974858,0.005,4875,14,0.002871794871794872,2.907157014671034,0.014184397163120567,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,dummy_prior,dummy_prior,974858,0.01,9749,14,0.0014360447225356446,1.4537276076029633,0.014184397163120567,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,dummy_prior,dummy_prior,974858,0.05,48743,96,0.0019695135711794514,1.9937653800341202,0.09929078014184398,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,logistic_regression,logistic_regression,974858,0.001,975,50,0.05128205128205128,51.9135181191256,0.0851063829787234,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,logistic_regression,logistic_regression,974858,0.005,4875,301,0.06174358974358975,62.50387581542722,0.4397163120567376,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,logistic_regression,logistic_regression,974858,0.01,9749,435,0.04461996102164324,45.16939352194921,0.5602836879432624,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,logistic_regression,logistic_regression,974858,0.05,48743,555,0.011386250333381203,11.526456103322257,0.723404255319149,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,random_forest,random_forest,974858,0.001,975,142,0.14564102564102563,147.4343914583167,0.2765957446808511,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,random_forest,random_forest,974858,0.005,4875,367,0.07528205128205129,76.20904459887639,0.574468085106383,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,random_forest,random_forest,974858,0.01,9749,507,0.05200533388039799,52.645706932478745,0.6950354609929078,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,random_forest,random_forest,974858,0.05,48743,749,0.015366309008473012,15.555523642141209,0.8794326241134752,valid
