strategy,model_variant,metric,mean,median,std,min,max,valid_split_count,tie_policy
random,dummy_median,recall_at_20pct,0.4794117647058823,0.45588235294117646,0.06034789567259763,0.38235294117647056,0.5882352941176471,10,sort by metric ascending then material_id for deterministic metric calculation
random,dummy_median,enrichment_factor_at_20pct,2.3688581314878894,2.2525951557093427,0.298189602146953,1.889273356401384,2.906574394463668,10,sort by metric ascending then material_id for deterministic metric calculation
random,dummy_median,exact_zero_target_recall_at_20pct,0.49594436074678006,0.474375,0.055163588311287405,0.4166666666666667,0.6071428571428571,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,target_treatment,,,,,,0,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,precision_at_10pct,0.31176470588235294,0.29411764705882354,0.08339674634563425,0.17647058823529413,0.4117647058823529,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,recall_at_10pct,0.31176470588235294,0.29411764705882354,0.08339674634563425,0.17647058823529413,0.4117647058823529,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,enrichment_factor_at_10pct,3.080968858131488,2.906574394463668,0.824156081533327,1.7439446366782008,4.069204152249135,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,exact_zero_target_recall_at_10pct,0.3043425991571153,0.3090277777777778,0.0374052471355964,0.21428571428571427,0.35714285714285715,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,precision_at_20pct,0.4588235294117647,0.5,0.07913896498278652,0.3235294117647059,0.5588235294117647,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,recall_at_20pct,0.4588235294117647,0.5,0.07913896498278652,0.3235294117647059,0.5588235294117647,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,enrichment_factor_at_20pct,2.267128027681661,2.4705882352941178,0.39103959167965113,1.5986159169550174,2.7612456747404845,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_log1p,exact_zero_target_recall_at_20pct,0.4672729774705582,0.5,0.08451791393222531,0.32142857142857145,0.6071428571428571,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,target_treatment,,,,,,0,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,precision_at_10pct,0.28823529411764703,0.2647058823529412,0.08086898285216189,0.17647058823529413,0.47058823529411764,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,recall_at_10pct,0.28823529411764703,0.2647058823529412,0.08086898285216189,0.17647058823529413,0.47058823529411764,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,enrichment_factor_at_10pct,2.8484429065743946,2.615916955017301,0.7991758305390115,1.7439446366782008,4.650519031141869,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,exact_zero_target_recall_at_10pct,0.2855359801488833,0.2774725274725275,0.046517433520076513,0.22580645161290322,0.39285714285714285,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,precision_at_20pct,0.4382352941176471,0.4264705882352941,0.08049371872590594,0.35294117647058826,0.6176470588235294,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,recall_at_20pct,0.4382352941176471,0.4264705882352941,0.08049371872590594,0.35294117647058826,0.6176470588235294,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,enrichment_factor_at_20pct,2.1653979238754326,2.1072664359861593,0.397733668998594,1.7439446366782008,3.0519031141868513,10,sort by metric ascending then material_id for deterministic metric calculation
random,histogram_gradient_boosting_raw,exact_zero_target_recall_at_20pct,0.4318779934223483,0.40783410138248843,0.0895516345885557,0.32142857142857145,0.6071428571428571,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,target_treatment,,,,,,0,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,precision_at_10pct,0.2,0.17647058823529413,0.09188529030478418,0.058823529411764705,0.35294117647058826,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,recall_at_10pct,0.2,0.17647058823529413,0.09188529030478418,0.058823529411764705,0.35294117647058826,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,enrichment_factor_at_10pct,1.9764705882352942,1.7439446366782008,0.9080428688943377,0.5813148788927336,3.4878892733564015,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,exact_zero_target_recall_at_10pct,0.2729123636220411,0.25,0.09010663377798482,0.16129032258064516,0.48,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,precision_at_20pct,0.4235294117647059,0.4264705882352941,0.0605625302411,0.29411764705882354,0.5,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,recall_at_20pct,0.4235294117647059,0.4264705882352941,0.0605625302411,0.29411764705882354,0.5,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,enrichment_factor_at_20pct,2.092733564013841,2.1072664359861593,0.2992501494266118,1.453287197231834,2.4705882352941178,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_log1p,exact_zero_target_recall_at_20pct,0.4578173273858758,0.42857142857142855,0.09326893579474352,0.3225806451612903,0.64,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_raw,target_treatment,,,,,,0,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_raw,precision_at_10pct,0.20588235294117646,0.23529411764705882,0.0993055471537302,0.058823529411764705,0.35294117647058826,10,sort by metric ascending then material_id for deterministic metric calculation
random,ridge_raw,recall_at_10pct,0.20588235294117646,0.23529411764705882,0.0993055471537302,0.058823529411764705,0.35294117647058826,10,sort by metric ascending then material_id for deterministic metric calculation
