comparison_status,row_count,share_of_requested_rows,source_version_status,target_source_policy,future_cohort_policy
target_exact_match,257,0.306682577566,source_version_unavailable:838,original_target_preserved_current_target_audit_only,eligible_if_exact_or_within_tolerance_and_structure_valid
target_within_numeric_tolerance,581,0.693317422434,source_version_unavailable:838,original_target_preserved_current_target_audit_only,eligible_if_exact_or_within_tolerance_and_structure_valid
