zip_file,internal_csv_path,file_name,schema_fingerprint,raw_row_count,normalized_row_count,dropped_blank_row_count,invalid_cycle_index_count,invalid_charge_capacity_count,invalid_discharge_capacity_count,invalid_charge_energy_count,invalid_discharge_energy_count,metadata_join_status,load_status,load_message
Michigan Expansion.zip,Michigan Expansion/MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C_cycle_data.csv,MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C_cycle_data.csv,schema_63d0cb98b657,379,379,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C_cycle_data.csv,MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C_cycle_data.csv,schema_63d0cb98b657,293,293,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C_cycle_data.csv,MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C_cycle_data.csv,schema_63d0cb98b657,103,103,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C_cycle_data.csv,MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C_cycle_data.csv,schema_63d0cb98b657,327,327,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C_cycle_data.csv,MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C_cycle_data.csv,schema_63d0cb98b657,573,573,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C_cycle_data.csv,MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C_cycle_data.csv,schema_63d0cb98b657,177,177,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_07R_pouch_NMC_25C_0-100_2-2C_cycle_data.csv,MICH_07R_pouch_NMC_25C_0-100_2-2C_cycle_data.csv,schema_63d0cb98b657,245,245,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_08C_pouch_NMC_-5C_0-100_2-2C_cycle_data.csv,MICH_08C_pouch_NMC_-5C_0-100_2-2C_cycle_data.csv,schema_63d0cb98b657,573,573,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,schema_63d0cb98b657,175,175,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,schema_63d0cb98b657,439,439,0,0,0,0,0,0,matched,success,
Michigan Expansion.zip,Michigan Expansion/MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,schema_63d0cb98b657,540,540,0,0,0,0,0,0,matched,success,
