case_study_version,source_artifact,source_sha256,model_name,fold_count,supported_fold_count,temporal_mean_pr_auc,temporal_median_pr_auc,temporal_min_pr_auc,temporal_max_pr_auc,temporal_std_pr_auc,temporal_iqr_pr_auc,temporal_cv_pr_auc,positive_lift_fold_count,negative_or_zero_lift_fold_count,positive_lift_fold_rate,final_holdout_pr_auc,final_holdout_deviation_from_temporal_median,prevalence_baseline,temporal_lift_over_prevalence,final_lift_over_prevalence,stability_note
v1.4.5,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,dummy_prior,7,7,0.050433245590861916,0.054140127388535,0.0350318471337579,0.0723404255319148,0.014588065064015703,0.025472619604810648,0.2694501429471137,0,7,0.0,0.054140127388535,0.0,0.06636885768985322,-0.01222873030131822,-0.01222873030131822,compact_temporal_summary
v1.4.5,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,hist_gradient_boosting_balanced,7,7,0.07744789393386024,0.0724865683799324,0.055600599490807,0.1188159991255665,0.018103592450792957,0.005013627276499094,0.24975099325856429,6,1,0.8571428571428571,0.0763148362734285,0.003828267893496093,0.06636885768985322,0.006117710690079187,0.00994597858357528,final_holdout_above_median_but_not_robust_alone
v1.4.5,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,logistic_regression_balanced,7,7,0.07915817224908091,0.0684554640109104,0.0270665252895117,0.1569818147178276,0.051697639547132884,0.0755197106227537,0.7552010682287295,4,3,0.5714285714285714,0.1569818147178276,0.0885263507069172,0.06636885768985322,0.0020866063210571856,0.09061295702797438,final_holdout_above_median_but_not_robust_alone
v1.4.5,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,random_forest_balanced,7,7,0.08540101489315681,0.0513687050363223,0.0494043660794728,0.2549055895470163,0.06980506204607229,0.020291150678848048,1.3589025068222729,4,3,0.5714285714285714,0.0513687050363223,0.0,0.06636885768985322,-0.01500015265353092,-0.01500015265353092,compact_temporal_summary
