refinement_order,case_id,spatial_points,time_steps,dx_m,dt_s,stability_ratio,l2_error_final_profile,maximum_absolute_error_final_profile,execution_status,execution_checksum_sha256
0,coarse,11,10,0.1,0.04,0.3999999999999999,0.002100929710682888,0.0031161823483721873,benchmark_executed_with_documented_numerical_error,ef685381a7e574fec861414a5a6d3a888b713e97b7980e51c1fc81fae6a53c75
1,medium,21,40,0.05,0.01,0.3999999999999999,0.000530682558161965,0.0007690320882955959,benchmark_executed_with_documented_numerical_error,0c26f4b2c6360b26b2bce551156977ec78899d2127b31fb37d0964518ad9f6dd
2,fine,41,160,0.025,0.0025,0.3999999999999999,0.00013385002156730884,0.00019164406581151372,benchmark_executed_with_documented_numerical_error,7806fcf99358b4419b38586a90e27442db8bbc4f15ed149598d3ce242a0bc33d
