reduced_formula_group,row_count,unique_material_id_count,unique_descriptor_vector_count,target_min,target_median,target_max,target_range,target_mean,target_std,target_mad,target_zero_count,mixed_zero_positive_status,theoretical_false_count,theoretical_true_count,polymorph_count,ambiguity_flag
Li2FeSi3O8,6,6,1,0.0601507200595241,0.077792370684524,5.538618802559524,5.4784680825,1.38689103264881,2.0562370221757735,0.010402721339285208,0,not_mixed,0,6,6,True
LiFeSi3O8,11,11,1,0.0364879077564106,0.0674540342948715,5.253856920064102,5.2173690123076915,1.3510678236305358,2.130391096559658,0.018963517884615498,0,not_mixed,0,11,11,True
Li2Fe5(Si2O7)2,2,2,1,0.031622784166668,1.0602568583666683,2.0888909325666685,2.0572681484000004,1.0602568583666683,1.0286340742000002,1.0286340742000002,0,not_mixed,0,2,2,True
Li2Fe2Si4O11,4,4,1,0.0140715241666677,0.42805162706140454,1.7931372886403514,1.7790657644736836,0.6658280167324571,0.7153103011861951,0.37946735605263143,0,not_mixed,0,4,4,True
Ho2FeSi2,2,2,1,0.0077571340000019,0.8067033750000032,1.6056496160000044,1.5978924820000024,0.8067033750000032,0.7989462410000013,0.7989462410000012,0,not_mixed,0,2,2,True
LiFeSiO4,68,68,1,0.0117089775000023,0.06475758613095456,0.9747294146428596,0.9630204371428572,0.08740184193058669,0.14044247736721527,0.014485897499999754,0,not_mixed,1,67,68,True
Li2Fe2(SiO3)3,6,6,1,0.0539300751562494,0.0679613767447913,0.6434190879687485,0.5894890128124991,0.16229241071180472,0.21532556866986655,0.0087550807031249,0,not_mixed,0,6,6,True
Tb2Fe2Si2C,2,2,1,0.0,0.29371302785714315,0.5874260557142863,0.5874260557142863,0.29371302785714315,0.29371302785714315,0.29371302785714315,1,mixed_zero_positive,2,0,2,True
Y4Fe13Si2(SbO14)2,2,2,1,0.0894466216666689,0.3725301710544229,0.6556137204421768,0.5661670987755079,0.3725301710544229,0.28308354938775393,0.28308354938775393,0,not_mixed,0,2,2,True
Fe13Si2(SbO14)2,2,2,1,0.2789111646851925,0.5388689382407472,0.7988267117963019,0.5199155471111094,0.5388689382407472,0.2599577735555547,0.2599577735555547,0,not_mixed,0,2,2,True
HfFeSi2,2,2,1,0.0,0.2065177070833326,0.4130354141666652,0.4130354141666652,0.2065177070833326,0.2065177070833326,0.2065177070833326,1,mixed_zero_positive,1,1,2,True
Fe2SiO4,5,5,1,0.0,0.0386426492857143,0.3984504964285706,0.3984504964285706,0.12232894559523773,0.15101268428156503,0.0386426492857143,1,mixed_zero_positive,3,2,5,True
Fe(Si2O3)2,2,2,1,0.8305033915909119,1.0141940479545482,1.1978847043181844,0.3673813127272725,1.0141940479545482,0.18369065636363624,0.18369065636363624,0,not_mixed,1,1,2,True
CaFe3Si2O9,3,3,1,0.0581383749444448,0.265785540444444,0.4032173537777783,0.3450789788333335,0.2423804230555557,0.14184668965272515,0.13743181333333426,0,not_mixed,2,1,3,True
NdFeSi,2,2,1,0.0,0.13555108749999964,0.2711021749999993,0.2711021749999993,0.13555108749999964,0.13555108749999964,0.13555108749999964,1,mixed_zero_positive,1,1,2,True
Ca2Al2FeSi3O13,2,2,1,0.0700680744444488,0.20407644730159144,0.3380848201587341,0.2680167457142853,0.20407644730159144,0.13400837285714265,0.13400837285714262,0,not_mixed,1,1,2,True
MgFe(SiO3)2,4,4,1,0.002546551541668,0.026598492854168,0.259981652666668,0.257435101125,0.078931297479168,0.10503072403570966,0.014102824062499852,0,not_mixed,1,3,4,True
FeSiN2,2,2,1,0.253401880416666,0.3604434332291664,0.4674849860416668,0.21408310562500077,0.3604434332291664,0.10704155281250038,0.10704155281250038,0,not_mixed,0,2,2,True
Na3CaFe4(SiO3)8,4,4,1,0.0097766892708337,0.10508491993750005,0.2151107539375001,0.2053340646666664,0.10876432077083348,0.09639334374159086,0.09241949795833325,0,not_mixed,0,4,4,True
NaCa3Fe4(SiO3)8,2,2,1,0.0109975068124992,0.1046410193125,0.1982845318125008,0.1872870250000016,0.1046410193125,0.0936435125000008,0.0936435125000008,0,not_mixed,0,2,2,True
Be3Fe4Si3TeO12,2,2,1,0.0268362746739132,0.11681509771739179,0.2067939207608704,0.1799576460869572,0.11681509771739179,0.0899788230434786,0.0899788230434786,0,not_mixed,1,1,2,True
Fe5Si3,2,2,1,0.0339786193749995,0.12225346093749939,0.2105283024999993,0.1765496831249998,0.12225346093749939,0.0882748415624999,0.0882748415624999,0,not_mixed,1,1,2,True
FeSiO4,4,4,1,0.2644431286111102,0.27471074256944306,0.4352342061111107,0.1707910775000005,0.31227470496527676,0.07119587535679603,0.007542372708333023,0,not_mixed,0,4,4,True
Fe2CoSi,2,2,1,0.0,0.07682544125,0.1536508825,0.1536508825,0.07682544125,0.07682544125,0.07682544125,1,mixed_zero_positive,0,2,2,True
MgFe2Si2SbO9,2,2,1,0.088039340083335,0.16321961041666894,0.2383998807500029,0.1503605406666679,0.16321961041666894,0.07518027033333395,0.07518027033333395,0,not_mixed,0,2,2,True
Fe3SiN4,2,2,1,0.216237878645833,0.2788482523958331,0.3414586261458332,0.12522074750000023,0.2788482523958331,0.06261037375000011,0.06261037375000011,0,not_mixed,0,2,2,True
