schema_version,record_type,feature_set_id,split_strategy,model_variant,metric,median,mean,min,max,valid_split_count,status
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,dummy_median,mae,0.07954035922240033,0.08596816870177103,0.06769364893768808,0.13686467801354993,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,dummy_median,rmse,0.12478799264849874,0.23245545850370003,0.1091130159075282,0.5717899954001286,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,dummy_median,r2,-0.03503872352751791,-0.039796134450968926,-0.09009421007687801,-0.010031871893445343,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_log1p,mae,0.07277229775353755,0.08367917207861605,0.06199531601881786,0.14401760943977995,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_log1p,rmse,0.11597775540322575,0.22697182649884734,0.10401086700404953,0.5718512275520173,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_log1p,r2,0.03812118982716978,0.04966407505934426,-0.05401081973394084,0.20582608973423144,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_log1p,spearman,0.3867662631615551,0.33942205318325985,0.028867667485902214,0.5022291487801895,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_raw,mae,0.08035359187828647,0.09259269789187895,0.06960245311352244,0.142853513115071,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_raw,rmse,0.13257554557901152,0.23423457993749394,0.11078662295130585,0.5690037049805166,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_raw,r2,-0.04598416452917198,-0.07855218287857565,-0.4798841921314996,0.1218060267263048,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,histogram_gradient_boosting_raw,spearman,0.3535540920125939,0.31614600973542556,-0.05596610744937817,0.6255576816467864,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_log1p,mae,0.07994549263960912,0.08861908782700159,0.07267503194444708,0.12955746309009114,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_log1p,rmse,0.11856657377145416,0.22730229212274913,0.10454443144373847,0.5639353378611848,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_log1p,r2,0.04052913373785516,0.03554266738859563,-0.03346774937783792,0.12166657458884478,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_log1p,spearman,0.23274020100393905,0.23280922274953272,-0.06295602214219122,0.39193271340053665,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_raw,mae,0.09220982008160206,0.09935270146720185,0.08591305530128772,0.1359305655312772,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_raw,rmse,0.12871950141334526,0.23455871420507163,0.1154554908944408,0.5626718335634121,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_raw,r2,-0.07851659101981157,-0.08452007638484238,-0.18935468511900644,-0.0204443017353777,10,valid
2.2.1,feature_set_metric,original_baseline_full,chemical_system_group,ridge_raw,spearman,0.171172959223681,0.16695590797560594,-0.028998767298585783,0.27650161996860956,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,dummy_median,mae,0.09941185414119301,0.09837114064002109,0.05577004259807595,0.13338493261748208,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,dummy_median,rmse,0.3276220648974787,0.3397360072669496,0.08902635179488963,0.5863828691753216,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,dummy_median,r2,-0.03730900250410352,-0.0518538525197715,-0.12218440889261384,-0.023499139250943823,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_log1p,mae,0.10026005497891877,0.09898589123198463,0.056147158562082404,0.1328087908925165,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_log1p,rmse,0.3100810899970007,0.33454821125190287,0.11116152863738507,0.5468782261996504,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_log1p,r2,0.05326781087334137,-0.3297025107953665,-3.2571561859715903,0.1603185676877783,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_log1p,spearman,0.5315494907156657,0.5243755990091724,0.45462108621657915,0.5901047787377742,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_raw,mae,0.11897740820235797,0.11507970872033577,0.06705874019087138,0.14823165213966488,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_raw,rmse,0.3238767387949806,0.36003874189151774,0.15131062960256692,0.5390407165512484,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_raw,r2,-0.19728732443241415,-1.3923756241694687,-11.214960397431318,0.3098222936130086,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,histogram_gradient_boosting_raw,spearman,0.4400982985552061,0.45027383271352184,0.38820148828916806,0.5463034203188507,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_log1p,mae,0.11219466709929152,0.1096114361146614,0.07637119281486625,0.1392669445997274,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_log1p,rmse,0.3177569492719282,0.3332863855226576,0.10630146531092236,0.5748446347129309,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_log1p,r2,0.013410849007279346,-0.04373951766486352,-0.4968687319452012,0.0654873034602621,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_log1p,spearman,0.3530500781824944,0.3590619736986841,0.2642558643243645,0.4644585337719137,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_raw,mae,0.13569382001360505,0.13477643182302615,0.10569436402367029,0.15698445580239498,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_raw,rmse,0.32100440489683324,0.3442787563371996,0.14519487851379706,0.5702660975700982,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_raw,r2,-0.02661362737226769,-0.3255169746974248,-2.3477865224580206,0.05960505202834232,10,valid
2.2.1,feature_set_metric,original_baseline_full,random,ridge_raw,spearman,0.2831578978655488,0.2831941585831648,0.18218391381925128,0.359847726974735,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,dummy_median,mae,0.09623608466467708,0.10773965744071949,0.07031962888385306,0.20280737272353086,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,dummy_median,rmse,0.31248952983465716,0.3940310034229938,0.17580204568055777,0.8256868033838808,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,dummy_median,r2,-0.034608371896942325,-0.04203843045356252,-0.07935681414129081,-0.023495290039547534,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,histogram_gradient_boosting_log1p,mae,0.08555949090233825,0.10393085833247787,0.06924778043982274,0.19817663662078486,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,histogram_gradient_boosting_log1p,rmse,0.30701076555867635,0.3857291643483517,0.16784370096438705,0.8099340129598763,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,histogram_gradient_boosting_log1p,r2,0.008993154279868354,0.014623018676569077,-0.03195609256062659,0.09275095915972964,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,histogram_gradient_boosting_log1p,spearman,0.46340639589269184,0.4712810724935477,0.35115279280995576,0.6334091711018013,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,histogram_gradient_boosting_raw,mae,0.10438033894889578,0.11664268631185763,0.08590780693233821,0.20378440356391414,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,histogram_gradient_boosting_raw,rmse,0.31372025023936745,0.3898070412894752,0.17886291261514292,0.8077145982410441,10,valid
2.2.1,feature_set_metric,original_baseline_full,reduced_formula_group,histogram_gradient_boosting_raw,r2,-0.009681689301683782,-0.03730231360736101,-0.14393275131719552,0.043530732974103925,10,valid
