strategy,model_variant,metric,mean,median,std,min,max,valid_split_count,interpretation_flag
chemical_system_group,ridge_log1p,negative_prediction_rate,0.06334945957488529,0.05638544077424784,0.03651288454742259,0.016042780748663103,0.13333333333333333,10,unseen_chemical_system_generalization
chemical_system_group,ridge_log1p,descriptor_overlap_rate,0.0,0.0,0.0,0.0,0.0,10,unseen_chemical_system_generalization
chemical_system_group,ridge_log1p,formula_overlap_rate,0.0,0.0,0.0,0.0,0.0,10,unseen_chemical_system_generalization
chemical_system_group,ridge_log1p,chemical_system_overlap_rate,0.0,0.0,0.0,0.0,0.0,10,unseen_chemical_system_generalization
chemical_system_group,ridge_log1p,descriptor_novel_mae,0.08861908782700159,0.07994549263960912,0.02023416983549476,0.07267503194444708,0.12955746309009114,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,mae,0.09935270146720185,0.09220982008160206,0.016479569746011138,0.08591305530128772,0.1359305655312772,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,median_absolute_error,0.061969531985184345,0.0660631923727151,0.015129800890208583,0.03505100375683688,0.07861658878449795,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,rmse,0.23455871420507163,0.12871950141334526,0.17149382368914018,0.1154554908944408,0.5626718335634121,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,r2,-0.08452007638484238,-0.07851659101981157,0.05028422607632112,-0.18935468511900644,-0.0204443017353777,10,below_dummy_like_or_unstable
chemical_system_group,ridge_raw,spearman,0.16695590797560594,0.171172959223681,0.08133739519965,-0.028998767298585783,0.27650161996860956,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,prediction_bias_mean,-0.0036416741008881938,0.007987743447094731,0.03299420566775711,-0.0682609413769225,0.026135362821244092,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,negative_prediction_rate,0.1215921958362105,0.13679079879374428,0.05534148073126208,0.016042780748663103,0.17692307692307693,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,descriptor_overlap_rate,0.0,0.0,0.0,0.0,0.0,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,formula_overlap_rate,0.0,0.0,0.0,0.0,0.0,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,chemical_system_overlap_rate,0.0,0.0,0.0,0.0,0.0,10,unseen_chemical_system_generalization
chemical_system_group,ridge_raw,descriptor_novel_mae,0.09935270146720185,0.09220982008160206,0.016479569746011138,0.08591305530128772,0.1359305655312772,10,unseen_chemical_system_generalization
random,dummy_median,mae,0.09837114064002109,0.09941185414119301,0.0252046389693863,0.05577004259807595,0.13338493261748208,10,interpolation_baseline
random,dummy_median,median_absolute_error,0.04227611474571198,0.04272984068831055,0.0017332477930539197,0.0391943685705174,0.044633370540476655,10,interpolation_baseline
random,dummy_median,rmse,0.3397360072669496,0.3276220648974787,0.17274354326207553,0.08902635179488963,0.5863828691753216,10,interpolation_baseline
random,dummy_median,r2,-0.0518538525197715,-0.03730900250410352,0.03562633703009432,-0.12218440889261384,-0.023499139250943823,10,below_dummy_like_or_unstable
random,dummy_median,prediction_bias_mean,-0.06338196282548217,-0.0682940621166727,0.021871633323799163,-0.08914151755266327,-0.019406136646472654,10,interpolation_baseline
random,dummy_median,negative_prediction_rate,0.0,0.0,0.0,0.0,0.0,10,interpolation_baseline
random,dummy_median,descriptor_overlap_rate,0.4458333333333333,0.4464285714285714,0.03870878687592644,0.40476190476190477,0.5119047619047619,10,interpolation_baseline
random,dummy_median,formula_overlap_rate,0.4458333333333333,0.4464285714285714,0.03870878687592644,0.40476190476190477,0.5119047619047619,10,interpolation_baseline
random,dummy_median,chemical_system_overlap_rate,0.9005952380952381,0.9047619047619048,0.016203163796209744,0.8630952380952381,0.9166666666666666,10,interpolation_baseline
random,dummy_median,descriptor_overlap_mae,0.1340789233728193,0.13073445470334677,0.059323937286996656,0.05583605385396558,0.22525779792083386,10,interpolation_baseline
random,dummy_median,descriptor_novel_mae,0.07180359759744977,0.07168780963646457,0.014386497703723532,0.05379817479552889,0.10033785853657243,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,mae,0.09898589123198463,0.10026005497891877,0.021179226113689106,0.056147158562082404,0.1328087908925165,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,median_absolute_error,0.03152471484238807,0.030753018792951607,0.003226848246953019,0.0268599541879719,0.03856395686822055,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,rmse,0.33454821125190287,0.3100810899970007,0.14444830868436304,0.11116152863738507,0.5468782261996504,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,r2,-0.3297025107953665,0.05326781087334137,0.9925951869834391,-3.2571561859715903,0.1603185676877783,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,spearman,0.5243755990091724,0.5315494907156657,0.03977474589014573,0.45462108621657915,0.5901047787377742,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,prediction_bias_mean,-0.015993665139435044,-0.015450278314469103,0.028403603872567126,-0.05299969962921643,0.03558473078935198,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,negative_prediction_rate,0.0488095238095238,0.041666666666666664,0.0176174387939866,0.02976190476190476,0.07738095238095238,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,descriptor_overlap_rate,0.4458333333333333,0.4464285714285714,0.03870878687592644,0.40476190476190477,0.5119047619047619,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,formula_overlap_rate,0.4458333333333333,0.4464285714285714,0.03870878687592644,0.40476190476190477,0.5119047619047619,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,chemical_system_overlap_rate,0.9005952380952381,0.9047619047619048,0.016203163796209744,0.8630952380952381,0.9166666666666666,10,interpolation_baseline
random,histogram_gradient_boosting_log1p,descriptor_overlap_mae,0.14239917962665966,0.1415867138433483,0.04737974466953737,0.05928251539002603,0.2222023297967328,10,interpolation_baseline
