member_name,member_type,parsed_date,compressed_size,uncompressed_size,valid_daily_csv,inclusion_status,exclusion_reason,duplicate_date_status,schema_status,notes
2013/.DS_Store,hidden_file,,1667,22532,False,excluded,hidden_file,not_applicable,not_applicable,
2013/2013-04-10.csv,valid_daily_csv,2013-04-10,334418,3229199,True,included,,unique_date,compatible,
2013/2013-04-11.csv,valid_daily_csv,2013-04-11,334002,3228964,True,included,,unique_date,compatible,
2013/2013-04-12.csv,valid_daily_csv,2013-04-12,333650,3229114,True,included,,unique_date,compatible,
2013/2013-04-13.csv,valid_daily_csv,2013-04-13,333257,3222126,True,included,,unique_date,compatible,
2013/2013-04-14.csv,valid_daily_csv,2013-04-14,338441,3291682,True,included,,unique_date,compatible,
2013/2013-04-15.csv,valid_daily_csv,2013-04-15,339003,3291961,True,included,,unique_date,compatible,
2013/2013-04-16.csv,valid_daily_csv,2013-04-16,338301,3292500,True,included,,unique_date,compatible,
2013/2013-04-17.csv,valid_daily_csv,2013-04-17,338254,3292901,True,included,,unique_date,compatible,
2013/2013-04-18.csv,valid_daily_csv,2013-04-18,338210,3292677,True,included,,unique_date,compatible,
2013/2013-04-19.csv,valid_daily_csv,2013-04-19,338568,3292780,True,included,,unique_date,compatible,
2013/2013-04-20.csv,valid_daily_csv,2013-04-20,338021,3292949,True,included,,unique_date,compatible,
2013/2013-04-21.csv,valid_daily_csv,2013-04-21,338218,3293092,True,included,,unique_date,compatible,
2013/2013-04-22.csv,valid_daily_csv,2013-04-22,338313,3293255,True,included,,unique_date,compatible,
2013/2013-04-23.csv,valid_daily_csv,2013-04-23,340137,3299813,True,included,,unique_date,compatible,
2013/2013-04-24.csv,valid_daily_csv,2013-04-24,340411,3307375,True,included,,unique_date,compatible,
2013/2013-04-25.csv,valid_daily_csv,2013-04-25,339689,3307877,True,included,,unique_date,compatible,
2013/2013-04-26.csv,valid_daily_csv,2013-04-26,339451,3314276,True,included,,unique_date,compatible,
2013/2013-04-27.csv,valid_daily_csv,2013-04-27,339799,3314248,True,included,,unique_date,compatible,
2013/2013-04-28.csv,valid_daily_csv,2013-04-28,340207,3314188,True,included,,unique_date,compatible,
2013/2013-04-29.csv,valid_daily_csv,2013-04-29,340333,3314197,True,included,,unique_date,compatible,
2013/2013-04-30.csv,valid_daily_csv,2013-04-30,340444,3314341,True,included,,unique_date,compatible,
2013/2013-05-01.csv,valid_daily_csv,2013-05-01,340272,3314614,True,included,,unique_date,compatible,
2013/2013-05-02.csv,valid_daily_csv,2013-05-02,340152,3314235,True,included,,unique_date,compatible,
2013/2013-05-03.csv,valid_daily_csv,2013-05-03,339754,3314280,True,included,,unique_date,compatible,
2013/2013-05-04.csv,valid_daily_csv,2013-05-04,340141,3314226,True,included,,unique_date,compatible,
2013/2013-05-05.csv,valid_daily_csv,2013-05-05,340762,3314555,True,included,,unique_date,compatible,
2013/2013-05-06.csv,valid_daily_csv,2013-05-06,340616,3314561,True,included,,unique_date,compatible,
2013/2013-05-07.csv,valid_daily_csv,2013-05-07,341038,3314593,True,included,,unique_date,compatible,
2013/2013-05-08.csv,valid_daily_csv,2013-05-08,340521,3314710,True,included,,unique_date,compatible,
2013/2013-05-09.csv,valid_daily_csv,2013-05-09,339698,3300917,True,included,,unique_date,compatible,
2013/2013-05-10.csv,valid_daily_csv,2013-05-10,342993,3335034,True,included,,unique_date,compatible,
2013/2013-05-11.csv,valid_daily_csv,2013-05-11,343030,3335140,True,included,,unique_date,compatible,
2013/2013-05-12.csv,valid_daily_csv,2013-05-12,343082,3334947,True,included,,unique_date,compatible,
2013/2013-05-13.csv,valid_daily_csv,2013-05-13,343015,3334857,True,included,,unique_date,compatible,
2013/2013-05-14.csv,valid_daily_csv,2013-05-14,343201,3335526,True,included,,unique_date,compatible,
2013/2013-05-15.csv,valid_daily_csv,2013-05-15,342911,3335155,True,included,,unique_date,compatible,
2013/2013-05-16.csv,valid_daily_csv,2013-05-16,342433,3334856,True,included,,unique_date,compatible,
2013/2013-05-17.csv,valid_daily_csv,2013-05-17,342631,3335045,True,included,,unique_date,compatible,
2013/2013-05-18.csv,valid_daily_csv,2013-05-18,352517,3444977,True,included,,unique_date,compatible,
2013/2013-05-19.csv,valid_daily_csv,2013-05-19,352621,3452503,True,included,,unique_date,compatible,
2013/2013-05-20.csv,valid_daily_csv,2013-05-20,353383,3452798,True,included,,unique_date,compatible,
2013/2013-05-21.csv,valid_daily_csv,2013-05-21,353088,3452696,True,included,,unique_date,compatible,
2013/2013-05-22.csv,valid_daily_csv,2013-05-22,352963,3452786,True,included,,unique_date,compatible,
2013/2013-05-23.csv,valid_daily_csv,2013-05-23,353334,3452570,True,included,,unique_date,compatible,
2013/2013-05-24.csv,valid_daily_csv,2013-05-24,353261,3452870,True,included,,unique_date,compatible,
2013/2013-05-25.csv,valid_daily_csv,2013-05-25,354322,3459686,True,included,,unique_date,compatible,
2013/2013-05-26.csv,valid_daily_csv,2013-05-26,353770,3459774,True,included,,unique_date,compatible,
2013/2013-05-27.csv,valid_daily_csv,2013-05-27,354167,3460001,True,included,,unique_date,compatible,
2013/2013-05-28.csv,valid_daily_csv,2013-05-28,353953,3459789,True,included,,unique_date,compatible,
2013/2013-05-29.csv,valid_daily_csv,2013-05-29,353065,3453034,True,included,,unique_date,compatible,
2013/2013-05-30.csv,valid_daily_csv,2013-05-30,353852,3453028,True,included,,unique_date,compatible,
2013/2013-05-31.csv,valid_daily_csv,2013-05-31,353196,3453267,True,included,,unique_date,compatible,
2013/2013-06-01.csv,valid_daily_csv,2013-06-01,353580,3453251,True,included,,unique_date,compatible,
2013/2013-06-02.csv,valid_daily_csv,2013-06-02,353185,3453401,True,included,,unique_date,compatible,
2013/2013-06-03.csv,valid_daily_csv,2013-06-03,354510,3453646,True,included,,unique_date,compatible,
2013/2013-06-04.csv,valid_daily_csv,2013-06-04,355175,3460630,True,included,,unique_date,compatible,
2013/2013-06-05.csv,valid_daily_csv,2013-06-05,353236,3446583,True,included,,unique_date,compatible,
2013/2013-06-06.csv,valid_daily_csv,2013-06-06,354017,3440087,True,included,,unique_date,compatible,
2013/2013-06-07.csv,valid_daily_csv,2013-06-07,352903,3439926,True,included,,unique_date,compatible,
2013/2013-06-08.csv,valid_daily_csv,2013-06-08,353531,3439805,True,included,,unique_date,compatible,
2013/2013-06-09.csv,valid_daily_csv,2013-06-09,352816,3439534,True,included,,unique_date,compatible,
2013/2013-06-10.csv,valid_daily_csv,2013-06-10,353270,3439774,True,included,,unique_date,compatible,
2013/2013-06-11.csv,valid_daily_csv,2013-06-11,353184,3439889,True,included,,unique_date,compatible,
2013/2013-06-12.csv,valid_daily_csv,2013-06-12,353820,3439896,True,included,,unique_date,compatible,
2013/2013-06-13.csv,valid_daily_csv,2013-06-13,352906,3439575,True,included,,unique_date,compatible,
2013/2013-06-14.csv,valid_daily_csv,2013-06-14,352529,3439941,True,included,,unique_date,compatible,
2013/2013-06-15.csv,valid_daily_csv,2013-06-15,353168,3446706,True,included,,unique_date,compatible,
2013/2013-06-16.csv,valid_daily_csv,2013-06-16,353316,3446902,True,included,,unique_date,compatible,
2013/2013-06-17.csv,valid_daily_csv,2013-06-17,353730,3447204,True,included,,unique_date,compatible,
2013/2013-06-18.csv,valid_daily_csv,2013-06-18,354798,3453846,True,included,,unique_date,compatible,
2013/2013-06-19.csv,valid_daily_csv,2013-06-19,354465,3453883,True,included,,unique_date,compatible,
2013/2013-06-20.csv,valid_daily_csv,2013-06-20,354417,3453640,True,included,,unique_date,compatible,
2013/2013-06-21.csv,valid_daily_csv,2013-06-21,353441,3440416,True,included,,unique_date,compatible,
2013/2013-06-22.csv,valid_daily_csv,2013-06-22,353283,3440521,True,included,,unique_date,compatible,
2013/2013-06-23.csv,valid_daily_csv,2013-06-23,352881,3440825,True,included,,unique_date,compatible,
2013/2013-06-24.csv,valid_daily_csv,2013-06-24,352991,3441043,True,included,,unique_date,compatible,
2013/2013-06-25.csv,valid_daily_csv,2013-06-25,352977,3441297,True,included,,unique_date,compatible,
2013/2013-06-26.csv,valid_daily_csv,2013-06-26,352208,3434346,True,included,,unique_date,compatible,
2013/2013-06-27.csv,valid_daily_csv,2013-06-27,359185,3486531,True,included,,unique_date,compatible,
2013/2013-06-28.csv,valid_daily_csv,2013-06-28,367940,3558756,True,included,,unique_date,compatible,
2013/2013-06-29.csv,valid_daily_csv,2013-06-29,367210,3558846,True,included,,unique_date,compatible,
2013/2013-06-30.csv,valid_daily_csv,2013-06-30,367009,3551857,True,included,,unique_date,compatible,
