zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32,filename_stem,cell_id,source,chemistry,form_factor,temperature_C,soc_min_pct,soc_max_pct,soc_window,charge_c_rate,discharge_c_rate,protocol_label,metadata_parse_status,metadata_parse_message
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e_cycle_data.csv,cycle_data,75559,22772,b4fbc4b4,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f_cycle_data.csv,cycle_data,75432,21795,e43b55e5,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g_cycle_data.csv,cycle_data,75895,21387,dd9e304b,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j_cycle_data.csv,cycle_data,75175,22627,768196c2,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l_cycle_data.csv,cycle_data,75738,21422,a0884a3f,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_m_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_m_cycle_data.csv,cycle_data,75392,22316,dbf36228,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_m,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n_cycle_data.csv,cycle_data,115221,33212,c4663c0c,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o_cycle_data.csv,cycle_data,116573,32335,de388f3c,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p_cycle_data.csv,cycle_data,116039,32221,7e76a543,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s_cycle_data.csv,cycle_data,117275,31988,3647b476,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
