split_strategy,model_variant,stratum_type,stratum_value,row_count,coverage,mae,median_absolute_error,rmse,bias,spearman,negative_prediction_rate
chemical_system_group,dummy_median,domain_distance,boundary,341,0.21153846153846154,0.15939298792720724,0.0412778951130912,0.659981973271306,-0.13435567822915442,-0.31132751950798654,0.0
chemical_system_group,dummy_median,domain_distance,in_domain,956,0.5930521091811415,0.07850330950862244,0.040887980075890354,0.31866599796593975,-0.04516449325525692,-0.2270507425576188,0.0
chemical_system_group,dummy_median,domain_distance,out_of_domain,315,0.19540942928039703,0.10072456097359454,0.0500375677864592,0.22780859721410895,-0.0623332802817745,0.06898746747597868,0.0
chemical_system_group,histogram_gradient_boosting_log1p,domain_distance,boundary,341,0.21153846153846154,0.16872466608881045,0.0556463719366053,0.6593511755589638,-0.07795124906916395,0.14397927115557035,0.01466275659824047
chemical_system_group,histogram_gradient_boosting_log1p,domain_distance,in_domain,956,0.5930521091811415,0.07680434726483812,0.03246821986934175,0.31946360670194435,-0.03108484062941584,0.2558745480071388,0.14644351464435146
chemical_system_group,histogram_gradient_boosting_log1p,domain_distance,out_of_domain,315,0.19540942928039703,0.09812034881718906,0.0655102194398572,0.21794421395067823,-0.020675204655248282,0.29167876211310956,0.0380952380952381
chemical_system_group,histogram_gradient_boosting_raw,domain_distance,boundary,341,0.21153846153846154,0.17637259394740717,0.067033593957576,0.6569798054089157,-0.0633862418176581,0.13923838252097892,0.04985337243401759
chemical_system_group,histogram_gradient_boosting_raw,domain_distance,in_domain,956,0.5930521091811415,0.08365862345379921,0.039565215794433756,0.32355849231204314,-0.03163536104681472,0.15231024022062553,0.2615062761506276
chemical_system_group,histogram_gradient_boosting_raw,domain_distance,out_of_domain,315,0.19540942928039703,0.10786593534082722,0.0761187864604909,0.22257177660382924,-0.00691171914063993,0.2672196622705281,0.09206349206349207
chemical_system_group,ridge_log1p,domain_distance,boundary,341,0.21153846153846154,0.16039209563619633,0.0442915223898017,0.6533084696846686,-0.08983985065340605,0.24117143853649825,0.04105571847507331
chemical_system_group,ridge_log1p,domain_distance,in_domain,956,0.5930521091811415,0.08219609498015266,0.0425908553619715,0.3188809178463821,-0.031166815532406703,-0.021054147929870835,0.030334728033472803
chemical_system_group,ridge_log1p,domain_distance,out_of_domain,315,0.19540942928039703,0.09749149079187859,0.0675363768463823,0.21565585626358247,-0.019586025685232444,0.38349559387139226,0.1111111111111111
chemical_system_group,ridge_raw,domain_distance,boundary,341,0.21153846153846154,0.1744627784782046,0.063736003938588,0.6532949150827321,-0.06538750894542755,0.16629979126948735,0.08504398826979472
chemical_system_group,ridge_raw,domain_distance,in_domain,956,0.5930521091811415,0.08759770918156624,0.04305910526465105,0.319667973745586,-0.015325407374482038,-0.028179873181758987,0.06276150627615062
chemical_system_group,ridge_raw,domain_distance,out_of_domain,315,0.19540942928039703,0.10771222831449272,0.0757669732995034,0.22048748107527058,-0.0062771670660801415,0.3219706060146576,0.17777777777777778
random,dummy_median,domain_distance,boundary,71,0.042261904761904764,0.06926624369722462,0.0480861573704602,0.09693999487293811,-0.02232457461278166,0.007557261116492972,0.0
random,dummy_median,domain_distance,in_domain,1535,0.9136904761904762,0.100702607375589,0.0411154760241138,0.3973170620197799,-0.06675755459448889,-0.08783477184972559,0.0
random,dummy_median,domain_distance,out_of_domain,74,0.04404761904761905,0.07793392771896301,0.04845708733701905,0.11938327051217823,-0.032754141172461435,-0.10725324778585912,0.0
random,histogram_gradient_boosting_log1p,domain_distance,boundary,71,0.042261904761904764,0.0664903690340212,0.0536405853944828,0.08683839694154369,0.020496817874716744,0.6299868989675991,0.04225352112676056
random,histogram_gradient_boosting_log1p,domain_distance,in_domain,1535,0.9136904761904762,0.10053352440658005,0.0296949866471228,0.37955364051187956,-0.019853726967963194,0.5436145974701315,0.049511400651465795
random,histogram_gradient_boosting_log1p,domain_distance,out_of_domain,74,0.04404761904761905,0.09806109600294931,0.06270035967764465,0.13825894022350801,0.0290653971955093,0.18524085989675798,0.04054054054054054
random,histogram_gradient_boosting_raw,domain_distance,boundary,71,0.042261904761904764,0.07461969714921647,0.0667099863048159,0.0923566591682415,0.026498013779262992,0.4572623540170855,0.04225352112676056
random,histogram_gradient_boosting_raw,domain_distance,in_domain,1535,0.9136904761904762,0.1163853932492547,0.0331424054952288,0.39149160299140023,0.0027340683512099544,0.4807793927450121,0.07231270358306188
